-179_-179 -4.178 -3.290 -1.636 
-179_-177 -4.440 -3.647 -1.655 
-179_-175 -4.738 -3.783 -1.684 
-179_-173 -4.999 -3.878 -1.720 
-179_-171 -5.189 -4.101 -1.776 
-179_-169 -5.384 -4.494 -1.826 
-179_-167 -5.607 -4.794 -1.909 
-179_-165 -5.894 -5.082 -2.040 
-179_-163 -6.174 -5.844 -2.166 
-179_-161 -6.538 -6.404 -2.285 
-179_-159 -6.755 -7.790 -2.403 
-179_-157 -6.993 -7.790 -2.550 
-179_-155 -7.116 -7.790 -2.667 
-179_-153 -7.361 -7.790 -2.753 
-179_-151 -7.766 -7.790 -2.852 
-179_-149 -8.172 -7.790 -2.949 
-179_-147 -8.459 -11.513 -3.061 
-179_-145 -8.865 -11.513 -3.197 
-179_-143 -9.558 -11.513 -3.308 
-179_-141 -10.251 -11.513 -3.493 
-179_-139 -11.513 -11.513 -3.630 
-179_-137 -11.513 -11.513 -3.799 
-179_-135 -11.513 -11.513 -3.915 
-179_-133 -11.513 -11.513 -4.013 
-179_-131 -11.513 -11.513 -4.146 
-179_-129 -11.513 -11.513 -4.331 
-179_-127 -11.513 -11.513 -4.558 
-179_-125 -11.513 -11.513 -4.640 
-179_-123 -11.513 -11.513 -4.852 
-179_-121 -11.513 -11.513 -4.935 
-179_-119 -11.513 -11.513 -5.056 
-179_-117 -11.513 -11.513 -5.271 
-179_-115 -11.513 -11.513 -5.271 
-179_-113 -11.513 -11.513 -5.355 
-179_-111 -11.513 -11.513 -5.494 
-179_-109 -11.513 -11.513 -5.494 
-179_-107 -11.513 -11.513 -5.600 
-179_-105 -11.513 -11.513 -5.851 
-179_-103 -10.251 -11.513 -5.925 
-179_-101 -10.251 -11.513 -5.925 
-179_-99 -10.251 -11.513 -6.092 
-179_-97 -9.558 -11.513 -6.187 
-179_-95 -9.558 -11.513 -6.293 
-179_-93 -9.558 -11.513 -6.411 
-179_-91 -8.865 -11.513 -6.544 
-179_-89 -8.865 -11.513 -6.544 
-179_-87 -8.642 -11.513 -6.881 
-179_-85 -8.642 -11.513 -7.391 
-179_-83 -8.459 -11.513 -7.391 
-179_-81 -8.305 -11.513 -7.391 
-179_-79 -8.172 -11.513 -7.391 
-179_-77 -8.172 -11.513 -7.391 
-179_-75 -8.172 -11.513 -7.391 
-179_-73 -8.172 -11.513 -7.391 
-179_-71 -8.172 -11.513 -7.391 
-179_-69 -8.172 -11.513 -7.391 
-179_-67 -8.172 -11.513 -7.391 
-179_-65 -8.172 -11.513 -7.391 
-179_-63 -8.305 -11.513 -7.391 
-179_-61 -8.459 -11.513 -7.391 
